AccessRecordID,EmployeeID,ApplicationID,Role,PrivilegeLevel,MFAEnabled,LastAccessReviewDate
UA001,EMP010,APP015,Executive Viewer,Elevated,Yes,2026-01-10
UA002,EMP010,APP016,Board Member,Elevated,Yes,2026-01-10
UA003,EMP010,APP045,Secure Messaging,Elevated,Yes,2026-01-10
UA004,EMP015,APP022,SOC Oversight,Privileged,Yes,2026-02-02
UA005,EMP015,APP043,Incident Oversight,Privileged,Yes,2026-02-02
UA006,EMP015,APP041,Crypto Admin,Privileged,Yes,2026-02-02
UA007,EMP015,APP040,Key Admin,Privileged,Yes,2026-02-02
UA008,EMP016,APP009,GRC Lead,Elevated,Yes,2026-01-28
UA009,EMP016,APP010,Risk Manager,Elevated,Yes,2026-01-28
UA010,EMP016,APP030,Compliance Manager,Elevated,Yes,2026-01-28
UA011,EMP016,APP031,Policy Manager,Elevated,Yes,2026-01-28
UA012,EMP003,APP009,GRC Analyst,Standard,Yes,2026-01-20
UA013,EMP003,APP010,Risk Analyst,Standard,Yes,2026-01-20
UA014,EMP020,APP009,Senior GRC Analyst,Elevated,Yes,2026-01-26
UA015,EMP020,APP010,Senior Risk Analyst,Elevated,Yes,2026-01-26
UA016,EMP034,APP030,Compliance Officer,Standard,Yes,2026-01-18
UA017,EMP034,APP031,Policy Contributor,Standard,Yes,2026-01-18
UA018,EMP035,APP030,Compliance Analyst,Standard,Yes,2026-01-22
UA019,EMP058,APP030,Senior Compliance Officer,Elevated,Yes,2026-01-20
UA020,EMP059,APP030,Compliance Analyst,Standard,Yes,2026-01-22
UA021,EMP083,APP030,Compliance Analyst,Standard,Yes,2026-01-22
UA022,EMP084,APP030,Compliance Analyst,Standard,Yes,2026-01-22
UA023,EMP098,APP030,Compliance Analyst,Standard,Yes,2026-01-22
UA024,EMP009,APP011,Legal Counsel,Standard,Yes,2026-01-22
UA025,EMP009,APP012,Contract Manager,Elevated,Yes,2026-01-22
UA026,EMP050,APP011,General Counsel,Privileged,Yes,2026-01-12
UA027,EMP050,APP012,Contract Admin,Privileged,Yes,2026-01-12
UA028,EMP027,APP011,Paralegal,Standard,Yes,2026-01-23
UA029,EMP051,APP011,Legal Analyst,Standard,Yes,2026-01-23
UA030,EMP081,APP011,Legal Analyst,Standard,Yes,2026-01-23
UA031,EMP082,APP011,Paralegal,Standard,Yes,2026-01-23
UA032,EMP094,APP014,Designer,Standard,Yes,2026-01-22
UA033,EMP011,APP021,IT Ops Lead,Privileged,Yes,2026-02-01
UA034,EMP011,APP024,EDR Admin,Privileged,Yes,2026-02-01
UA035,EMP011,APP025,Backup Admin,Privileged,Yes,2026-02-01
UA036,EMP011,APP033,VPN Admin,Privileged,Yes,2026-02-01
UA037,EMP011,APP034,Asset Manager,Privileged,Yes,2026-02-01
UA038,EMP011,APP039,Data Warehouse Admin,Privileged,Yes,2026-02-01
UA039,EMP011,APP040,KMS Admin,Privileged,Yes,2026-02-01
UA040,EMP011,APP041,Crypto Admin,Privileged,Yes,2026-02-01
UA041,EMP002,APP020,DB Admin,Privileged,Yes,2026-02-05
UA042,EMP002,APP021,System Admin,Privileged,Yes,2026-02-05
UA043,EMP018,APP021,Network Engineer,Privileged,Yes,2026-02-06
UA044,EMP018,APP033,VPN Admin,Privileged,Yes,2026-02-06
UA045,EMP068,APP021,Network Engineer,Privileged,Yes,2026-02-06
UA046,EMP068,APP033,VPN Admin,Privileged,Yes,2026-02-06
UA047,EMP037,APP020,DBA,Privileged,Yes,2026-02-03
UA048,EMP071,APP020,DBA,Privileged,Yes,2026-02-03
UA049,EMP039,APP022,Security Engineer,Privileged,Yes,2026-02-08
UA050,EMP039,APP043,Incident Manager,Privileged,Yes,2026-02-08
UA051,EMP039,APP044,Phishing Simulator,Standard,Yes,2026-02-08
UA052,EMP053,APP022,Security Analyst,Elevated,Yes,2026-02-09
UA053,EMP053,APP043,Incident Analyst,Elevated,Yes,2026-02-09
UA054,EMP091,APP022,Security Analyst,Elevated,Yes,2026-02-09
UA055,EMP091,APP043,Incident Analyst,Elevated,Yes,2026-02-09
UA056,EMP005,APP022,SOC Analyst,Elevated,Yes,2026-02-10
UA057,EMP005,APP043,Incident Analyst,Elevated,Yes,2026-02-10
UA058,EMP008,APP022,SOC Manager,Privileged,Yes,2026-02-08
UA059,EMP008,APP043,Incident Manager,Privileged,Yes,2026-02-08
UA060,EMP062,APP017,DevOps Engineer,Privileged,Yes,2026-02-03
UA061,EMP062,APP018,Git Admin,Privileged,Yes,2026-02-03
UA062,EMP062,APP019,Build Server Admin,Privileged,Yes,2026-02-03
UA063,EMP063,APP017,DevOps Engineer,Privileged,Yes,2026-02-05
UA064,EMP063,APP018,Git Admin,Privileged,Yes,2026-02-05
UA065,EMP064,APP017,Automation Engineer,Privileged,Yes,2026-02-06
UA066,EMP064,APP018,Git Admin,Privileged,Yes,2026-02-06
UA067,EMP097,APP017,Cloud Engineer,Privileged,Yes,2026-02-07
UA068,EMP097,APP026,Cloud Manager,Privileged,Yes,2026-02-07
UA069,EMP072,APP026,Cloud Admin,Privileged,Yes,2026-02-06
UA070,EMP072,APP039,Data Warehouse Admin,Privileged,Yes,2026-02-06
UA071,EMP028,APP026,Cloud Engineer,Privileged,Yes,2026-02-07
UA072,EMP028,APP017,DevOps Contributor,Standard,Yes,2026-02-07
UA073,EMP001,APP001,Finance Analyst,Standard,Yes,2026-01-12
UA074,EMP001,APP029,Expense User,Standard,Yes,2026-01-12
UA075,EMP013,APP001,Senior Analyst,Elevated,Yes,2026-01-19
